Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
200056_s_at	C1D	other	331.83	306.38	444.15	205.41
200057_s_at	NONO	other	3349	3165.3	5538.6	2191.4
200058_s_at	LOC101929240 /// SNRNP200	other	1326.8	1260.1	2000.6	735.31
200059_s_at	RHOA	other	2129.9	2219.2	3355.9	1315.5
200060_s_at	RNPS1	other	866.31	799.49	1339.3	557.24
200061_s_at	RPS24	other	7683.7	8708.8	13355	6517
200062_s_at	RPL30	other	7486.5	7802.4	12836	5860.5
200063_s_at	NPM1	other	3561.7	3637.4	5585.8	2738.8
200064_at	HSP90AB1	immunity	2251	1615.3	3948	1315.6
200065_s_at	ARF1 /// MIR3620	other	1372.1	1594.6	2103.9	939.93
200066_at	IK	immunity	690.14	724.7	985.72	493.18
200067_x_at	SNX3	other	686.28	793.69	797.31	462.26
200068_s_at	CANX	other	1675.4	1824.1	2359.7	1117.6
200069_at	SART3	other	351.01	348	467.89	218.91
200070_at	CNPPD1	other	384.26	381.67	611.94	232.93
200071_at	SMNDC1	other	388.36	440.27	583.55	282.68
200072_s_at	HNRNPM	other	1440.4	1214.8	2105.1	715.75
200073_s_at	HNRNPD	other	1077.9	1201.6	1577	728.01
200074_s_at	RPL14	other	3027.4	3429.5	5099.4	2406.9
200075_s_at	GUK1	other	551.78	626.95	1133.8	535.75
200076_s_at	KXD1	other	488.57	534.4	743.57	363.86
200077_s_at	OAZ1	other	2871.2	3546.4	4677.2	2207.6
200078_s_at	ATP6V0B	other	693.92	903.76	963.86	574.93
200079_s_at	KARS	other	1233	1238.8	1781.6	748.77
200080_s_at	H3F3A /// H3F3AP4 /// H3F3B	other	2144	2139.7	3445.7	1459.7
200081_s_at	RPS6	other	6410.5	6486.8	10100	4834.4
200082_s_at	RPS7	other	4033.4	4870.9	7527.2	3685.3
200083_at	USP22	other	778.47	935.09	1329.1	555.93
200084_at	C11orf58	other	1021.9	1112.1	1482.1	673.49
200085_s_at	TCEB2	other	1175.1	1363.1	1797	894.96
200086_s_at	COX4I1	other	1600.1	2197.5	2926.3	1516.7
200087_s_at	TMED2	other	748.9	1151.8	1556.3	680.77
200088_x_at	NBEAL1 /// RPL12	other	7879.4	8080.6	11686	6558.6
200089_s_at	RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C	other	3153.1	3774.4	5552.5	2877.8
200090_at	FNTA	other	844.5	965.8	1283	602.4
200091_s_at	RPS25	other	2493	3118.4	4585.1	2277.2
200092_s_at	RPL37	other	4285.3	5202.8	7789.4	3984.6
200093_s_at	HINT1	other	1262.1	1200	2002.5	947.61
200094_s_at	EEF2	other	3186	3457.7	5548.9	2624.5
200095_x_at	RPS10	other	8075.7	8701.3	12398	6822.2
200096_s_at	ATP6V0E1	other	975.16	1180.8	1440.5	769.21
200097_s_at	HNRNPK	other	1010.2	1224.2	1668.5	669.1
200098_s_at	ANAPC5	other	902	1091.4	1501.8	727.99
200099_s_at	RPS3A /// SNORD73A	other	4613.5	6156.6	10058	4247
1007_s_at	DDR1 /// MIR4640	other	556.23	566.78	646.76	273.15
1053_at	RFC2	other	205.95	181.66	228.73	131.49
117_at	HSPA6	other	189.57	157.81	207.54	122.67
121_at	PAX8	other	476.9	414.91	586.97	287.28
1255_g_at	GUCA1A	other	160.8	128.33	180.46	97.37
1294_at	MIR5193 /// UBA7	immunity	517.24	505.06	702.5	306.76
1316_at	THRA	other	201.45	190.22	263.79	140.24
1320_at	PTPN21	other	151.83	128.61	172.47	93.426
1405_i_at	CCL5	immunity	153.63	112.05	1196.1	208.84
1431_at	CYP2E1	other	151.08	125.71	173.25	96.766
1438_at	EPHB3	other	181.65	153.88	199.96	108.09
1487_at	ESRRA	other	370.23	310.94	467.93	234.62
1494_f_at	CYP2A6	other	201.36	158.63	231.59	114.84
1598_g_at	GAS6	other	384.37	329.75	475.68	216.54
160020_at	MMP14	other	513.96	432.48	609.77	297.9
1729_at	TRADD	other	374.42	391.67	559.17	244.01
1773_at	CHURC1-FNTB /// FNTB	other	208.62	163.23	236.1	119.94
177_at	PLD1	other	157.03	136.02	171.69	101.33
179_at	DTX2P1-UPK3BP1-PMS2P11	other	518.41	445.74	634.96	301.43
1861_at	BAD	immunity	179.21	156.45	215.35	109.44
2028_s_at	E2F1	other	250.36	221.85	308.95	146.69
243_g_at	MAP4	other	298.21	282.73	469.66	194.62
266_s_at	CD24	immunity	122.35	90.545	126.62	74.634
31637_s_at	NR1D1 /// THRA	other	672.95	539.55	898.39	352.98
31799_at	---	other	157.41	142.49	187.79	103.64
31807_at	DDX49	other	368.79	406.82	483.56	290.91
31826_at	FKBP15	other	544.19	487.12	649.66	327.09
31835_at	HRG	immunity	227.2	187.39	251.83	132.57
31837_at	LMF2	other	649.2	574.24	846.13	368.01
31845_at	ELF4	other	365.11	401.45	585.69	276.05
31846_at	RHOD	other	554.72	504.88	708.06	338.38
31861_at	IGHMBP2	immunity	456.08	415.03	630.51	282.37
31874_at	GAS2L1	other	179.65	144.41	200.37	105.15
32029_at	LOC101060747 /// PDPK1	immunity	413.84	350.71	505.12	234.02
32032_at	DGCR14 /// TSSK2	other	356.16	333.88	494.1	221.71
32042_at	ENOX2	other	177.51	163.68	209.22	105.81
32062_at	LRRC14	other	364.67	353.02	496.3	270.53
32069_at	N4BP1	other	358.45	335.16	451.89	230.6
32088_at	BLZF1	other	121.47	111.68	133.5	84.289
32091_at	SLC25A44	other	251.17	234.18	384.47	181.41
32094_at	CHST3	other	250.1	216.06	286.86	148.59
32099_at	SAFB2	other	373.37	402.59	632.48	237.68
320_at	PEX6	other	215.94	209.85	303.2	157.71
32128_at	CCL18	immunity	169.41	142.69	189.08	105.6
32137_at	JAG2	other	243.75	219.69	264.39	133.38
32209_at	FAM89B	other	992.92	1101.1	1413.7	636.32
